ワード,読み,入力例
おいしいお肉が食べたいな,おいしいおにくがたべたいな,oisiionikugatabetaina
大食い選手権,おおぐいせんしゅけん,ooguisenshukexn
大化けの可能性あり,おおばけのかのうせいあり,oobakenokanouseiari
おかげ様で元気です,おかげさまでげんきです,okagesamadegenkidesu
お気に入りに登録,おきにいりにとうろく,okiniirinitouroku
お酒は大人になってから,おさけはおとなになってから,osakehaotonaninattekara
おじいさんは山へ柴刈りに,おじいさんはやまへしばかりに,ojiisanhayamahesibakarini
おしゃれなデザイン,おしゃれなでざいん,osharenadezaixn
お醤油取って下さい,おしょうゆとってください,oshouyutottekudasai
お中元の季節,おちゅうげんのきせつ,otyuugexnnokisetu
お疲れ様でした,おつかれさまでした,otukaresamadesita
お手洗いはあちらです,おてあらいはあちらです,otearaihaatiradesu
男ばっかり三兄弟,おとこばっかりさんきょうだい,otokobakkarisankyoudai
お年玉ちょうだい,おとしだまちょうだい,otosidamatyoudai
鬼の居ぬ間に洗濯,おにのいぬまにせんたく,oninoinumanisentaku
鬼は外、福は内,おにはそと、ふくはうち,onihasoto,fukuhauti
おばあさんは川へ洗濯に,おばあさんはかわへせんたくに,obaasanhakawahesentakuni
主な登場人物,おもなとうじょうじんぶつ,omonatoujoujinbutu
おやつは戸棚に入っています,おやつはとだなにはいっています,oyatuhatodananihaitteimasu
お料理教室,おりょうりきょうしつ,oryourikyousitu
温泉に行きたいな,おんせんにいきたいな,onsexnniikitaina
女心と秋の空,おんなごころとあきのそら,oxnnagokorotoakinosora
オンラインショッピング,おんらいんしょっぴんぐ,onrainshoppingu
恩を仇で返す,おんをあだでかえす,onwoadadekaesu
ガーデニングが趣味です,がーでにんぐがしゅみです,ga-deningugashumidesu
飼い犬に手を咬まれる,かいいぬにてをかまれる,kaiinunitewokamareru
海水浴でスイカ割り,かいすいよくですいかわり,kaisuiyokudesuikawari
懐中電灯,かいちゅうでんとう,kaityuudentou
解答欄に記入してください,かいとうらんにきにゅうしてください,kaitouraxnnikinyuusitekudasai
海洋深層水,かいようしんそうすい,kaiyousinsousui
カエルの子はカエル,かえるのこはかえる,kaerunokohakaeru
カキ氷始めました,かきごおりはじめました,kakigoorihajimemasita
隠し味はお醤油,かくしあじはおしょうゆ,kakusiajihaoshouyu
隠れても無駄だ！,かくれてもむだだ！,kakuretemomudada!
駆け込み乗車はおやめください,かけこみじょうしゃはおやめください,kakekomijoushahaoyamekudasai
傘でゴルフの練習,かさでごるふのれんしゅう,kasadegorufunorenshuu
貸切露天風呂,かしきりろてんぶろ,kasikirirotenburo
火星人襲来,かせいじんしゅうらい,kaseijinshuurai
学校給食,がっこうきゅうしょく,gakkoukyuushoku
学校の七不思議,がっこうのななふしぎ,gakkounonanafusigi
果肉入りオレンジジュース,かにくいりおれんじじゅーす,kanikuiriorenjiju-su
カブトムシ対クワガタムシ,かぶとむしたいくわがたむし,kabutomusitaikuwagatamusi
壁に耳あり障子に目あり,かべにみみありしょうじにめあり,kabenimimiarishoujinimeari
亀の甲より年の功,かめのこうよりとしのこう,kamenokouyoritosinokou
火曜日は定休日です,かようびはていきゅうびです,kayoubihateikyuubidesu
カラクリ人形,からくりにんぎょう,karakuriningyou
辛子明太子おにぎり,からしめんたいこおにぎり,karasimentaikoonigiri
カリフォルニアロール,かりふぉるにあろーる,kariforuniaro-ru
カルシウムが足りない,かるしうむがたりない,karusiumugatarinai
カレーライスとハンバーグが好きです,かれーらいすとはんばーぐがすきです,kare-raisutohanba-gugasukidesu
可愛いチワワですね,かわいいちわわですね,kawaiitiwawadesune
変わった趣味をお持ちですね,かわったしゅみをおもちですね,kawattashumiwoomotidesune
関西国際空港,かんさいこくさいくうこう,kansaikokusaikuukou
完全燃焼,かんぜんねんしょう,kanzexnnenshou
感動的な再会,かんどうてきなさいかい,kandoutekinasaikai
カンヌ国際映画祭,かんぬこくさいえいがさい,kaxnnukokusaieigasai
頑張ってください,がんばってください,ganbattekudasai
観葉植物,かんようしょくぶつ,kaxnyoushokubutu
記憶にございません,きおくにございません,kiokunigozaimasexn
期待して損した,きたいしてそんした,kitaisitesonsita
キツネとタヌキの化かし合い,きつねとたぬきのばかしあい,kitunetotanukinobakasiai
昨日のことは覚えていません,きのうのことはおぼえていません,kinounokotohaoboeteimasexn
昨日の敵は今日の友,きのうのてきはきょうのとも,kinounotekihakyounotomo
逆転サヨナラ満塁ホームラン,ぎゃくてんさよならまんるいほーむらん,gyakutensayonaramanruiho-muraxn
キャビアはチョウザメの卵,きゃびあはちょうざめのたまご,kyabiahatyouzamenotamago
キャラメルポップコーン,きゃらめるぽっぷこーん,kyaramerupoppuko-xn
キャンプファイヤー,きゃんぷふぁいやー,kyanpufaiya-
キャンペーン実施中,きゃんぺーんじっしちゅう,kyanpe-njissityuu
究極の選択,きゅうきょくのせんたく,kyuukyokunosentaku
給食当番,きゅうしょくとうばん,kyuushokutoubaxn
牛肉のカルパッチョ,ぎゅうにくのかるぱっちょ,gyuunikunokarupattyo
驚愕の事実,きょうがくのじじつ,kyougakunojijitu
強制終了,きょうせいしゅうりょう,kyouseishuuryou
今日のおすすめ品,きょうのおすすめひん,kyounoosusumehixn
今日はいい天気ですね,きょうはいいてんきですね,kyouhaiitenkidesune
今日は楽しかったよ,きょうはたのしかったよ,kyouhatanosikattayo
行列の絶えない人気店,ぎょうれつのたえないにんきてん,gyouretunotaenaininkitexn
きれいな花にはトゲがある,きれいなはなにはとげがある,kireinahananihatogegaaru
キンキンに冷えたビール,きんきんにひえたびーる,kinkixnnihietabi-ru
禁断の魔術,きんだんのまじゅつ,kindaxnnomajutu
筋肉は裏切らない,きんにくはうらぎらない,kixnnikuhauragiranai
金の斧ですか銀の斧ですか,きんのおのですかぎんのおのですか,kixnnoonodesukagixnnoonodesuka
グアムとサイパンは近い,ぐあむとさいぱんはちかい,guamutosaipanhatikai
空気清浄機,くうきせいじょうき,kuukiseijouki
空中ブランコ,くうちゅうぶらんこ,kuutyuuburanko
雲行きが怪しい,くもゆきがあやしい,kumoyukigaayasii
クラシック音楽,くらしっくおんがく,kurasikkuongaku
グラフィックデザイナー,ぐらふぃっくでざいなー,gurafikkudezaina-
クリスマスツリー点灯,くりすますつりーてんとう,kurisumasuturi-tentou
クリスマスパーティー,くりすますぱーてぃー,kurisumasupa-thi-
くるみ割り人形,くるみわりにんぎょう,kurumiwariningyou
経営コンサルタント,けいえいこんさるたんと,keieikonsarutanto
継続は力なり,けいぞくはちからなり,keizokuhatikaranari
携帯の電源をお切り下さい,けいたいのでんげんをおきりください,keitainodengenwookirikudasai
血液型占い,けつえきがたうらない,ketuekigatauranai
結婚おめでとう,けっこんおめでとう,kekkoxnomedetou
決定的瞬間,けっていてきしゅんかん,ketteitekishunkaxn
ゲルマン民族の大移動,げるまんみんぞくのだいいどう,gerumanminzokunodaiidou
後悔先に立たず,こうかいさきにたたず,koukaisakinitatazu
合格発表,ごうかくはっぴょう,goukakuhappyou
高級チョコレート,こうきゅうちょこれーと,koukyuutyokore-to
甲子園球場,こうしえんきゅうじょう,kousienkyuujou
紅茶専門店,こうちゃせんもんてん,koutyasenmontexn
交通ルールを守りましょう,こうつうるーるをまもりましょう,koutuuru-ruwomamorimashou
コウモリは哺乳類です,こうもりはほにゅうるいです,koumorihahonyuuruidesu
コーヒー牛乳,こーひーぎゅうにゅう,ko-hi-gyuunyuu
コーヒーにミルク入れる？,こーひーにみるくいれる？,ko-hi-nimirukuireru?
ご活躍をお祈りします,ごかつやくをおいのりします,gokatuyakuwooinorisimasu
極秘プロジェクト始動,ごくひぷろじぇくとしどう,gokuhipurojekutosidou
国民健康保険,こくみんけんこうほけん,kokuminkenkouhokexn
ここからが本番です,ここからがほんばんです,kokokaragahonbandesu
ここだけの話ですが,ここだけのはなしですが,kokodakenohanasidesuga
ここで会ったが百年目,ここであったがひゃくねんめ,kokodeattagahyakunenme
ここは俺が食い止める！,ここはおれがくいとめる！,kokohaoregakuitomeru!
ここはどこ、私は誰,ここはどこ、わたしはだれ,"kokohadoko,watasihadare"
ご自由にお持ち下さい,ごじゆうにおもちください,gojiyuuniomotikudasai
こたつから出られない,こたつからでられない,kotatukaraderarenai
こたつでみかんを食べる,こたつでみかんをたべる,kotatudemikanwotaberu
ごちそうさまでした,ごちそうさまでした,gotisousamadesita
言葉の魔術師,ことばのまじゅつし,kotobanomajutusi
子供の頃からの夢でした,こどものころからのゆめでした,kodomonokorokaranoyumedesita
子猫の肉球,こねこのにくきゅう,konekononikukyuu
コラーゲン配合,こらーげんはいごう,kora-genhaigou
ご利用は計画的に,ごりようはけいかくてきに,goriyouhakeikakutekini
これは訓練ではない,これはくんれんではない,korehakunrendehanai
これはペンですか？,これはぺんですか？,korehapendesuka?
怖い話しようぜ,こわいはなししようぜ,kowaihanasisiyouze
今週のベストセラー,こんしゅうのべすとせらー,konshuunobesutosera-
今度は大丈夫です,こんどはだいじょうぶです,kondohadaijoubudesu
コンビニエンスストア,こんびにえんすすとあ,konbiniensusutoa
今夜はカレーライスよ,こんやはかれーらいすよ,koxnyahakare-raisuyo
今夜はロールキャベツです,こんやはろーるきゃべつです,koxnyaharo-rukyabetudesu
サービス残業,さーびすざんぎょう,sa-bisuzangyou
再起動が必要です,さいきどうがひつようです,saikidougahituyoudesu
最高級食材,さいこうきゅうしょくざい,saikoukyuushokuzai
最高級のおもてなし,さいこうきゅうのおもてなし,saikoukyuunoomotenasi
最高新記録,さいこうしんきろく,saikousinkiroku
最高の雪景色,さいこうのゆきげしき,saikounoyukigesiki
再就職先,さいしゅうしょくさき,saishuushokusaki
財布が小銭でパンパンです,さいふがこぜにでぱんぱんです,saifugakozenidepanpandesu
桜前線北上中,さくらぜんせんほくじょうちゅう,sakurazensenhokujoutyuu
鮭とイクラの親子丼,さけといくらのおやこどん,saketoikuranooyakodoxn
酒は飲んでも飲まれるな,さけはのんでものまれるな,sakehanondemonomareruna
砂糖と塩を間違えた,さとうとしおをまちがえた,satoutosioomatigaeta
寒い日が続いています,さむいひがつづいています,samuihigatuduiteimasu
三角関数の応用,さんかくかんすうのおうよう,sankakukansuunoouyou
産業革命,さんぎょうかくめい,sangyoukakumei
残念なお知らせがあります,ざんねんなおしらせがあります,zaxnnexnnaosirasegaarimasu
サンマが安いですよ,さんまがやすいですよ,sanmagayasuidesuyo
ジェットコースター,じぇっとこーすたー,jettoko-suta-
シェフの気まぐれサラダ,しぇふのきまぐれさらだ,shefunokimaguresarada
四角い畳を丸く掃く,しかくいたたみをまるくはく,sikakuitatamiwomarukuhaku
自己紹介をしてください,じこしょうかいをしてください,jikoshoukaiwositekudasai
獅子座流星群,ししざりゅうせいぐん,sisizaryuuseiguxn
下から読んでも新聞紙,したからよんでもしんぶんし,sitakarayondemosinbunsi
ジブラルタル海峡,じぶらるたるかいきょう,jiburarutarukaikyou
自分に対するご褒美,じぶんにたいするごほうび,jibuxnnitaisurugohoubi
しまった、寝過ごした！,しまった、ねすごした！,"simatta,nesugosita!"
社会の歯車,しゃかいのはぐるま,shakainohaguruma
弱点が丸見え,じゃくてんがまるみえ,jakutengamarumie
弱肉強食,じゃくにくきょうしょく,jakunikukyoushoku
シャッターチャンス,しゃったーちゃんす,shatta-tyansu
修学旅行,しゅうがくりょこう,shuugakuryokou
集合写真,しゅうごうしゃしん,shuugoushasin
集中豪雨,しゅうちゅうごうう,shuutyuugouu
シューティングゲーム,しゅーてぃんぐげーむ,shu-thinguge-mu
宿題を忘れました,しゅくだいをわすれました,shukudaiwowasuremasita
受験勉強,じゅけんべんきょう,jukenbenkyou
出血大サービス,しゅっけつだいさーびす,shukketudaisa-bisu
趣味はお茶とお花とお琴です,しゅみはおちゃとおはなとおことです,shumihaotyatoohanatookotodesu
需要と供給,じゅようときょうきゅう,juyoutokyoukyuu
障害物競走,しょうがいぶつきょうそう,shougaibutukyousou
場外ホームラン,じょうがいほーむらん,jougaiho-muraxn
上昇気流,じょうしょうきりゅう,joushoukiryuu
使用上の注意,しようじょうのちゅうい,siyoujounotyuui
少年よ大志を抱け,しょうねんよたいしをいだけ,shounexnyotaisiwoidake
商売繁盛,しょうばいはんじょう,shoubaihanjou
少林寺拳法,しょうりんじけんぽう,shourinjikenpou
食後のコーヒー,しょくごのこーひー,shokugonoko-hi-
食虫植物,しょくちゅうしょくぶつ,shokutyuushokubutu
ショッピングセンター,しょっぴんぐせんたー,shoppingusenta-
処理速度を高速化,しょりそくどをこうそくか,shorisokudowokousokuka
書類にハンコを押してください,しょるいにはんこをおしてください,shoruinihankowoositekudasai
シルバーアクセサリー,しるばーあくせさりー,siruba-akusesari-
白いご飯が食べたい,しろいごはんがたべたい,siroigohangatabetai
真珠のネックレス,しんじゅのねっくれす,sinjunonekkuresu
人生の分岐点,じんせいのぶんきてん,jinseinobunkitexn
人生山あり谷あり,じんせいやまありたにあり,jinseiyamaaritaniari
心臓に毛が生えている,しんぞうにけがはえている,sinzounikegahaeteiru
新築マンション,しんちくまんしょん,sintikumanshoxn
シンデレラストーリー,しんでれらすとーりー,sindererasuto-ri-
新東京国際空港,しんとうきょうこくさいくうこう,sintoukyoukokusaikuukou
新入社員,しんにゅうしゃいん,sixnnyuushaixn
新入生歓迎会,しんにゅうせいかんげいかい,sixnnyuuseikangeikai
心理学を専攻する,しんりがくをせんこうする,sinrigakuwosenkousuru
スイーツ食べ放題,すいーつたべほうだい,sui-tutabehoudai
水酸化ナトリウム水溶液,すいさんかなとりうむすいようえき,suisankanatoriumusuiyoueki
ずいずいずっころばし,ずいずいずっころばし,zuizuizukkorobasi
睡魔には勝てなかった,すいまにはかてなかった,suimanihakatenakatta
素顔は見せられない,すがおはみせられない,sugaohamiserarenai
隙間に入っちゃった,すきまにはいっちゃった,sukimanihaittyatta
スキューバダイビング,すきゅーばだいびんぐ,sukyu-badaibingu
スクランブル交差点,すくらんぶるこうさてん,sukuranburukousatexn
ずっと遊んで暮らしたい,ずっとあそんでくらしたい,zuttoasondekurasitai
ずっとこのまま寝ていたい,ずっとこのままねていたい,zuttokonomamaneteitai
ストレス解消,すとれすかいしょう,sutoresukaishou
スペースキーを連打,すぺーすきーをれんだ,supe-suki-worenda
スペシャルサンクス,すぺしゃるさんくす,supesharusankusu
スペシャルプライス,すぺしゃるぷらいす,supesharupuraisu
スモモも桃も桃のうち,すもももももももものうち,sumomomomomomomomonouti
生死の境をさまよう,せいしのさかいをさまよう,seisinosakaiwosamayou
世界一周旅行,せかいいっしゅうりょこう,sekaiisshuuryokou
石油ファンヒーター,せきゆふぁんひーたー,sekiyufanhi-ta-
赤裸々な告白,せきららなこくはく,sekiraranakokuhaku
絶体絶命の大ピンチ,ぜったいぜつめいのだいぴんち,zettaizetumeinodaipinti
選挙管理委員会,せんきょかんりいいんかい,senkyokanriiinkai
先行試写会,せんこうししゃかい,senkousishakai
戦国大名,せんごくだいみょう,sengokudaimyou
全財産をつぎ込む,ぜんざいさんをつぎこむ,zenzaisanwotugikomu
全自動皿洗い機,ぜんじどうさらあらいき,zenjidousaraaraiki
全自動洗濯機,ぜんじどうせんたくき,zenjidousentakuki
先進国首脳会議,せんしんこくしゅのうかいぎ,sensinkokushunoukaigi
先生の口癖,せんせいのくちぐせ,senseinokutiguse
戦闘を開始してください,せんとうをかいししてください,sentouwokaisisitekudasai
全力を尽くします,ぜんりょくをつくします,zenryokuwotukusimasu
相対性理論,そうたいせいりろん,soutaiseiriroxn
早朝ランニング,そうちょうらんにんぐ,soutyouraxnningu
そこを右折してください,そこをうせつしてください,sokowousetusitekudasai
そこをまっすぐ行ってください,そこをまっすぐいってください,sokowomassuguittekudasai
卒業写真,そつぎょうしゃしん,sotugyoushasixn
卒業文集,そつぎょうぶんしゅう,sotugyoubunshuu
そっくりそのまま返す,そっくりそのままかえす,sokkurisonomamakaesu
そっちは行き止まりだ！,そっちはいきどまりだ！,sottihaikidomarida!
それでも地球は回っている,それでもちきゅうはまわっている,soredemotikyuuhamawatteiru
そろそろ心が折れそうです,そろそろこころがおれそうです,sorosorokokorogaoresoudesu
そんな恐い顔するなって,そんなこわいかおするなって,soxnnakowaikaosurunatte
体育館に集合,たいいくかんにしゅうごう,taiikukaxnnishuugou
大切な書類,たいせつなしょるい,taisetunashorui
代表取締役,だいひょうとりしまりやく,daihyoutorisimariyaku
台風接近中,たいふうせっきんちゅう,taifuusekkintyuu
タイムパラドックス,たいむぱらどっくす,taimuparadokkusu
太陽系第三惑星地球,たいようけいだいさんわくせいちきゅう,taiyoukeidaisanwakuseitikyuu
体力測定,たいりょくそくてい,tairyokusokutei
ダウンロードを開始します,だうんろーどをかいしします,daunro-dowokaisisimasu
ただ今準備中です,ただいまじゅんびちゅうです,tadaimajunbityuudesu
畳にキノコが生えました,たたみにきのこがはえました,tataminikinokogahaemasita
タダより高いものは無い,ただよりたかいものはない,tadayoritakaimonohanai
卓球で脱臼,たっきゅうでだっきゅう,takkyuudedakkyuu
脱出成功！,だっしゅつせいこう！,dasshutuseikou!
立つ鳥跡を濁さず,たつとりあとをにごさず,tatutoriatowonigosazu
タバコがやめられない,たばこがやめられない,tabakogayamerarenai
タピオカミルクティー,たぴおかみるくてぃー,tapiokamirukuthi-
旅に出たい気分,たびにでたいきぶん,tabinidetaikibuxn
食べたら歯を磨こうね,たべたらはをみがこうね,tabetarahawomigakoune
食べてすぐ寝たら牛になりました,たべてすぐねたらうしになりました,tabetesugunetarausininarimasita
魂の一撃,たましいのいちげき,tamasiinoitigeki
だるまさんが転んだ,だるまさんがころんだ,darumasangakoronda
誰も反応してくれない,だれもはんのうしてくれない,daremohaxnnousitekurenai
炭酸飲料,たんさんいんりょう,tansaxninryou
誕生日おめでとう,たんじょうびおめでとう,tanjoubiomedetou
誕生日プレゼント,たんじょうびぷれぜんと,tanjoubipurezento
タンスの角に小指をぶつけた,たんすのかどにこゆびをぶつけた,tansunokadonikoyubiwobutuketa
地球外生命体,ちきゅうがいせいめいたい,tikyuugaiseimeitai
地球は青かった,ちきゅうはあおかった,tikyuuhaaokatta
乳搾り体験,ちちしぼりたいけん,titisiboritaikexn
チャレンジ精神,ちゃれんじせいしん,tyarenjiseisixn
チューリップが咲きました,ちゅーりっぷがさきました,tyu-rippugasakimasita
超高級リゾートホテル,ちょうこうきゅうりぞーとほてる,tyoukoukyuurizo-tohoteru
超常現象,ちょうじょうげんしょう,tyoujougenshou
調理師免許,ちょうりしめんきょ,tyourisimenkyo
チョコレートパフェ,ちょこれーとぱふぇ,tyokore-topafe
ちょっと休憩,ちょっときゅうけい,tyottokyuukei
ちょっと待ってください,ちょっとまってください,tyottomattekudasai
賃貸マンション,ちんたいまんしょん,tintaimanshoxn
使い捨てコンタクトレンズ,つかいすてこんたくとれんず,tukaisutekontakutorenzu
月がきれいですね,つきがきれいですね,tukigakireidesune
低気圧が発達中,ていきあつがはったつちゅう,teikiatugahattatutyuu
ディスカウントショップ,でぃすかうんとしょっぷ,dhisukauntoshoppu
出口のない迷路,でぐちのないめいろ,degutinonaimeiro
テスト期間まであと一週間,てすときかんまであといっしゅうかん,tesutokikanmadeatoisshuukaxn
電気を大切に,でんきをたいせつに,denkiwotaisetuni
天井裏になにかいる,てんじょううらになにかいる,tenjouuraninanikairu
伝説の勇者,でんせつのゆうしゃ,densetunoyuusha
ドアノブが取れました,どあのぶがとれました,doanobugatoremasita
トイレはどこですか？,といれはどこですか？,toirehadokodesuka?
東京と京都,とうきょうときょうと,toukyoutokyouto
どうしても思い出せない,どうしてもおもいだせない,dousitemoomoidasenai
東北新幹線,とうほくしんかんせん,touhokusinkansexn
特賞はハワイ旅行,とくしょうははわいりょこう,tokushouhahawairyokou
読書感想文,どくしょかんそうぶん,dokushokansoubuxn
匿名希望さん,とくめいきぼうさん,tokumeikibousaxn
時計が壊れたんです,とけいがこわれたんです,tokeigakowaretandesu
どこかでお会いしませんでしたか？,どこかでおあいしませんでしたか？,dokokadeoaisimasendesitaka?
どこからか視線を感じる,どこからかしせんをかんじる,dokokarakasisenwokanjiru
特許出願中,とっきょしゅつがんちゅう,tokkyoshutugantyuu
隣の客はよく柿食う客だ,となりのきゃくはよくかきくうきゃくだ,tonarinokyakuhayokukakikuukyakuda
ドラゴン退治に出発だ,どらごんたいじにしゅっぱつだ,doragontaijinishuppatuda
取らぬ狸の皮算用,とらぬたぬきのかわざんよう,toranutanukinokawazaxnyou
トラブルシューティング,とらぶるしゅーてぃんぐ,toraburushu-thingu
ドラマチックな出会い,どらまちっくなであい,doramatikkunadeai
とりあえずビールちょうだい,とりあえずびーるちょうだい,toriaezubi-rutyoudai
ドレミファソラシド,どれみふぁそらしど,doremifasorasido
トロピカルフルーツ,とろぴかるふるーつ,toropikarufuru-tu
長い夜になりそうです,ながいよるになりそうです,nagaiyoruninarisoudesu
仲良しこよしのお友達,なかよしこよしのおともだち,nakayosikoyosinootomodati
ナスカの地上絵,なすかのちじょうえ,nasukanotijoue
謎の多い人物,なぞのおおいじんぶつ,nazonoooijinbutu
夏休みの絵日記,なつやすみのえにっき,natuyasuminoenikki
夏休みの宿題終わった？,なつやすみのしゅくだいおわった？,natuyasuminoshukudaiowatta?
生むぎ生ごめ生たまご,なまむぎなまごめなまたまご,namamuginamagomenamatamago
南極大陸,なんきょくたいりく,nankyokutairiku
何だか嫌な予感がする,なんだかいやなよかんがする,nandakaiyanayokangasuru
二階から目薬,にかいからめぐすり,nikaikaramegusuri
日本国憲法,にほんこくけんぽう,nihonkokukenpou
日本の首都は東京,にほんのしゅとはとうきょう,nihoxnnoshutohatoukyou
庭には二羽にわとりがいる,にわにはにわにわとりがいる,niwanihaniwaniwatorigairu
人気テーマパーク,にんきてーまぱーく,ninkite-mapa-ku
脱いだら脱ぎっぱなし,ぬいだらぬぎっぱなし,nuidaranugippanasi
抜け道を発見,ぬけみちをはっけん,nukemitiwohakkexn
猫の首に鈴をつける,ねこのくびにすずをつける,nekonokubinisuzuwotukeru
